"filename", "language", "Shell Script", "Batch", "Python", "Markdown", "XML", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\ui_help.py", "Python", 0, 0, 78, 0, 0, 0, 0, 10, 8, 96
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\ui_kfq.py", "Python", 0, 0, 300, 0, 0, 0, 0, 10, 104, 414
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\ui_license.py", "Python", 0, 0, 904, 0, 0, 0, 0, 10, 22, 936
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\ui_output.py", "Python", 0, 0, 26, 0, 0, 0, 0, 10, 10, 46
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\ui_setting.py", "Python", 0, 0, 158, 0, 0, 0, 0, 10, 13, 181
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\ui_start_options.py", "Python", 0, 0, 44, 0, 0, 0, 0, 10, 8, 62
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\update.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\update_frp.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\HTTco\Desktop\MSL2-Python\docs\README.md", "Markdown", 0, 0, 0, 118, 0, 0, 0, 0, 61, 179
"c:\Users\HTTco\Desktop\MSL2-Python\docs\_404.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\HTTco\Desktop\MSL2-Python\docs\_coverpage.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 0, 5, 13
"c:\Users\HTTco\Desktop\MSL2-Python\docs\_navbar.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\HTTco\Desktop\MSL2-Python\docs\_sidebar.md", "Markdown", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\HTTco\Desktop\MSL2-Python\docs\index.html", "HTML", 0, 0, 0, 0, 0, 0, 43, 4, 2, 49
"c:\Users\HTTco\Desktop\MSL2-Python\docs\sw.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 38, 8, 83
"c:\Users\HTTco\Desktop\MSL2-Python\kfq.ui", "XML", 0, 0, 0, 0, 612, 0, 0, 0, 1, 613
"c:\Users\HTTco\Desktop\MSL2-Python\main.py", "Python", 0, 0, 150, 0, 0, 0, 0, 4, 16, 170
"c:\Users\HTTco\Desktop\MSL2-Python\main_cmdl.py", "Python", 0, 0, 182, 0, 0, 0, 0, 0, 2, 184
"c:\Users\HTTco\Desktop\MSL2-Python\output.ui", "XML", 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"c:\Users\HTTco\Desktop\MSL2-Python\ui_kfq.py", "Python", 0, 0, 300, 0, 0, 0, 0, 10, 104, 414
"c:\Users\HTTco\Desktop\MSL2-Python\ui_output.py", "Python", 0, 0, 26, 0, 0, 0, 0, 10, 10, 46
"c:\Users\HTTco\Desktop\MSL2-Python\update_gui.cmd", "Batch", 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\HTTco\Desktop\MSL2-Python\update_gui.sh", "Shell Script", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\HTTco\Desktop\MSL2-Python\update_requirements.cmd", "Batch", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\HTTco\Desktop\MSL2-Python\update_requirements.sh", "Shell Script", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 11, 15, 4789, 209, 2848, 37, 43, 270, 795, 9017
